,Model_Name,AttackID,Total_Count_of_Actual_Attacks,Total_Count_of_Identified_Attacks,Identified_Attack(in %),Attack_Start_Time,Attack_End_Time,PropensityOfAttack (In Seconds),Model_Group
0,iforest_P1_SWAT_Dec2015_Data_model,1,940,940,100.0,2015-12-28 10:29:14,2015-12-28 10:44:53,0.0,iforest
1,iforest_P1_SWAT_Dec2015_Data_model,2,443,419,94.58,2015-12-28 10:51:08,2015-12-28 10:58:30,0.0,iforest
2,iforest_P1_SWAT_Dec2015_Data_model,3,383,383,100.0,2015-12-28 11:22:00,2015-12-28 11:28:22,0.0,iforest
3,iforest_P1_SWAT_Dec2015_Data_model,4,390,363,93.08,2015-12-28 11:47:39,2015-12-28 11:54:08,2.0,iforest
4,iforest_P1_SWAT_Dec2015_Data_model,6,196,196,100.0,2015-12-28 12:00:55,2015-12-28 12:04:10,0.0,iforest
5,iforest_P1_SWAT_Dec2015_Data_model,7,429,429,100.0,2015-12-28 12:08:25,2015-12-28 12:15:33,0.0,iforest
6,iforest_P1_SWAT_Dec2015_Data_model,8,964,927,96.16,2015-12-28 13:10:10,2015-12-28 13:26:13,0.0,iforest
7,iforest_P1_SWAT_Dec2015_Data_model,10,160,136,85.0,2015-12-28 14:16:20,2015-12-28 14:19:00,0.0,iforest
8,iforest_P1_SWAT_Dec2015_Data_model,11,561,320,57.04,2015-12-28 14:19:00,2015-12-28 14:28:20,0.0,iforest
9,iforest_P1_SWAT_Dec2015_Data_model,13,233,224,96.14,2015-12-29 11:11:25,2015-12-29 11:15:17,0.0,iforest
10,iforest_P1_SWAT_Dec2015_Data_model,14,431,404,93.74,2015-12-29 11:35:40,2015-12-29 11:42:50,0.0,iforest
11,iforest_P1_SWAT_Dec2015_Data_model,16,276,251,90.94,2015-12-29 11:57:25,2015-12-29 12:02:00,25.0,iforest
12,iforest_P1_SWAT_Dec2015_Data_model,17,717,690,96.23,2015-12-29 14:38:12,2015-12-29 14:50:08,0.0,iforest
13,iforest_P1_SWAT_Dec2015_Data_model,19,259,242,93.44,2015-12-29 18:10:43,2015-12-29 18:15:01,0.0,iforest
14,iforest_P1_SWAT_Dec2015_Data_model,20,395,379,95.95,2015-12-29 18:15:43,2015-12-29 18:22:17,0.0,iforest
15,iforest_P1_SWAT_Dec2015_Data_model,21,721,721,100.0,2015-12-29 18:30:00,2015-12-29 18:42:00,0.0,iforest
16,iforest_P1_SWAT_Dec2015_Data_model,22,463,448,96.76,2015-12-29 22:55:18,2015-12-29 23:03:00,0.0,iforest
17,iforest_P1_SWAT_Dec2015_Data_model,23,697,694,99.57,2015-12-30 01:42:34,2015-12-30 01:54:10,0.0,iforest
18,iforest_P1_SWAT_Dec2015_Data_model,24,321,310,96.57,2015-12-30 09:51:08,2015-12-30 09:56:28,0.0,iforest
19,iforest_P1_SWAT_Dec2015_Data_model,25,612,153,25.0,2015-12-30 10:01:50,2015-12-30 10:12:01,0.0,iforest
20,iforest_P1_SWAT_Dec2015_Data_model,26,1445,679,46.99,2015-12-30 17:04:56,2015-12-30 17:29:00,9.0,iforest
21,iforest_P1_SWAT_Dec2015_Data_model,27,1691,1638,96.87,2015-12-31 01:17:08,2015-12-31 01:45:18,0.0,iforest
22,iforest_P1_SWAT_Dec2015_Data_model,28,34209,13695,40.03,2015-12-31 01:45:19,2015-12-31 11:15:27,0.0,iforest
23,iforest_P1_SWAT_Dec2015_Data_model,29,121,121,100.0,2015-12-31 15:32:00,2015-12-31 15:34:00,0.0,iforest
24,iforest_P1_SWAT_Dec2015_Data_model,30,1171,1171,100.0,2015-12-31 15:47:40,2015-12-31 16:07:10,0.0,iforest
25,iforest_P1_SWAT_Dec2015_Data_model,31,367,321,87.47,2015-12-31 22:05:34,2015-12-31 22:11:40,0.0,iforest
26,iforest_P1_SWAT_Dec2015_Data_model,32,601,599,99.67,2016-01-01 10:36:00,2016-01-01 10:46:00,0.0,iforest
27,iforest_P1_SWAT_Dec2015_Data_model,33,444,441,99.32,2016-01-01 14:21:12,2016-01-01 14:28:35,0.0,iforest
28,iforest_P1_SWAT_Dec2015_Data_model,34,101,100,99.01,2016-01-01 17:12:40,2016-01-01 17:14:20,0.0,iforest
29,iforest_P1_SWAT_Dec2015_Data_model,35,481,481,100.0,2016-01-01 17:18:56,2016-01-01 17:26:56,0.0,iforest
30,iforest_P1_SWAT_Dec2015_Data_model,36,540,540,100.0,2016-01-01 22:16:01,2016-01-01 22:25:00,0.0,iforest
0,iforest_P2_SWAT_Dec2015_Data_model,1,940,936,99.57,2015-12-28 10:29:14,2015-12-28 10:44:53,0.0,iforest
1,iforest_P2_SWAT_Dec2015_Data_model,2,443,443,100.0,2015-12-28 10:51:08,2015-12-28 10:58:30,0.0,iforest
2,iforest_P2_SWAT_Dec2015_Data_model,3,383,383,100.0,2015-12-28 11:22:00,2015-12-28 11:28:22,0.0,iforest
3,iforest_P2_SWAT_Dec2015_Data_model,4,390,390,100.0,2015-12-28 11:47:39,2015-12-28 11:54:08,0.0,iforest
4,iforest_P2_SWAT_Dec2015_Data_model,6,196,135,68.88,2015-12-28 12:00:55,2015-12-28 12:04:10,2.0,iforest
5,iforest_P2_SWAT_Dec2015_Data_model,7,429,424,98.83,2015-12-28 12:08:25,2015-12-28 12:15:33,0.0,iforest
6,iforest_P2_SWAT_Dec2015_Data_model,8,964,956,99.17,2015-12-28 13:10:10,2015-12-28 13:26:13,0.0,iforest
7,iforest_P2_SWAT_Dec2015_Data_model,10,160,160,100.0,2015-12-28 14:16:20,2015-12-28 14:19:00,0.0,iforest
8,iforest_P2_SWAT_Dec2015_Data_model,11,561,550,98.04,2015-12-28 14:19:00,2015-12-28 14:28:20,0.0,iforest
9,iforest_P2_SWAT_Dec2015_Data_model,13,233,233,100.0,2015-12-29 11:11:25,2015-12-29 11:15:17,0.0,iforest
10,iforest_P2_SWAT_Dec2015_Data_model,14,431,287,66.59,2015-12-29 11:35:40,2015-12-29 11:42:50,0.0,iforest
11,iforest_P2_SWAT_Dec2015_Data_model,16,276,248,89.86,2015-12-29 11:57:25,2015-12-29 12:02:00,18.0,iforest
12,iforest_P2_SWAT_Dec2015_Data_model,17,717,625,87.17,2015-12-29 14:38:12,2015-12-29 14:50:08,0.0,iforest
13,iforest_P2_SWAT_Dec2015_Data_model,19,259,259,100.0,2015-12-29 18:10:43,2015-12-29 18:15:01,0.0,iforest
14,iforest_P2_SWAT_Dec2015_Data_model,20,395,395,100.0,2015-12-29 18:15:43,2015-12-29 18:22:17,0.0,iforest
15,iforest_P2_SWAT_Dec2015_Data_model,21,721,721,100.0,2015-12-29 18:30:00,2015-12-29 18:42:00,0.0,iforest
16,iforest_P2_SWAT_Dec2015_Data_model,22,463,0,0.0,2015-12-29 22:55:18,2015-12-29 23:03:00,462.0,iforest
17,iforest_P2_SWAT_Dec2015_Data_model,23,697,382,54.81,2015-12-30 01:42:34,2015-12-30 01:54:10,0.0,iforest
18,iforest_P2_SWAT_Dec2015_Data_model,24,321,321,100.0,2015-12-30 09:51:08,2015-12-30 09:56:28,0.0,iforest
19,iforest_P2_SWAT_Dec2015_Data_model,25,612,612,100.0,2015-12-30 10:01:50,2015-12-30 10:12:01,0.0,iforest
20,iforest_P2_SWAT_Dec2015_Data_model,26,1445,20,1.38,2015-12-30 17:04:56,2015-12-30 17:29:00,1422.0,iforest
21,iforest_P2_SWAT_Dec2015_Data_model,27,1691,0,0.0,2015-12-31 01:17:08,2015-12-31 01:45:18,1690.0,iforest
22,iforest_P2_SWAT_Dec2015_Data_model,28,34209,34014,99.43,2015-12-31 01:45:19,2015-12-31 11:15:27,195.0,iforest
23,iforest_P2_SWAT_Dec2015_Data_model,29,121,121,100.0,2015-12-31 15:32:00,2015-12-31 15:34:00,0.0,iforest
24,iforest_P2_SWAT_Dec2015_Data_model,30,1171,1171,100.0,2015-12-31 15:47:40,2015-12-31 16:07:10,0.0,iforest
25,iforest_P2_SWAT_Dec2015_Data_model,31,367,367,100.0,2015-12-31 22:05:34,2015-12-31 22:11:40,0.0,iforest
26,iforest_P2_SWAT_Dec2015_Data_model,32,601,601,100.0,2016-01-01 10:36:00,2016-01-01 10:46:00,0.0,iforest
27,iforest_P2_SWAT_Dec2015_Data_model,33,444,291,65.54,2016-01-01 14:21:12,2016-01-01 14:28:35,0.0,iforest
28,iforest_P2_SWAT_Dec2015_Data_model,34,101,52,51.49,2016-01-01 17:12:40,2016-01-01 17:14:20,0.0,iforest
29,iforest_P2_SWAT_Dec2015_Data_model,35,481,480,99.79,2016-01-01 17:18:56,2016-01-01 17:26:56,0.0,iforest
30,iforest_P2_SWAT_Dec2015_Data_model,36,540,540,100.0,2016-01-01 22:16:01,2016-01-01 22:25:00,0.0,iforest
0,iforest_P3_SWAT_Dec2015_Data_model,1,940,900,95.74,2015-12-28 10:29:14,2015-12-28 10:44:53,0.0,iforest
1,iforest_P3_SWAT_Dec2015_Data_model,2,443,339,76.52,2015-12-28 10:51:08,2015-12-28 10:58:30,0.0,iforest
2,iforest_P3_SWAT_Dec2015_Data_model,3,383,383,100.0,2015-12-28 11:22:00,2015-12-28 11:28:22,0.0,iforest
3,iforest_P3_SWAT_Dec2015_Data_model,4,390,390,100.0,2015-12-28 11:47:39,2015-12-28 11:54:08,0.0,iforest
4,iforest_P3_SWAT_Dec2015_Data_model,6,196,196,100.0,2015-12-28 12:00:55,2015-12-28 12:04:10,0.0,iforest
5,iforest_P3_SWAT_Dec2015_Data_model,7,429,0,0.0,2015-12-28 12:08:25,2015-12-28 12:15:33,428.0,iforest
6,iforest_P3_SWAT_Dec2015_Data_model,8,964,956,99.17,2015-12-28 13:10:10,2015-12-28 13:26:13,0.0,iforest
7,iforest_P3_SWAT_Dec2015_Data_model,10,160,106,66.25,2015-12-28 14:16:20,2015-12-28 14:19:00,0.0,iforest
8,iforest_P3_SWAT_Dec2015_Data_model,11,561,139,24.78,2015-12-28 14:19:00,2015-12-28 14:28:20,0.0,iforest
9,iforest_P3_SWAT_Dec2015_Data_model,13,233,233,100.0,2015-12-29 11:11:25,2015-12-29 11:15:17,0.0,iforest
10,iforest_P3_SWAT_Dec2015_Data_model,14,431,150,34.8,2015-12-29 11:35:40,2015-12-29 11:42:50,0.0,iforest
11,iforest_P3_SWAT_Dec2015_Data_model,16,276,126,45.65,2015-12-29 11:57:25,2015-12-29 12:02:00,0.0,iforest
12,iforest_P3_SWAT_Dec2015_Data_model,17,717,717,100.0,2015-12-29 14:38:12,2015-12-29 14:50:08,0.0,iforest
13,iforest_P3_SWAT_Dec2015_Data_model,19,259,256,98.84,2015-12-29 18:10:43,2015-12-29 18:15:01,0.0,iforest
14,iforest_P3_SWAT_Dec2015_Data_model,20,395,395,100.0,2015-12-29 18:15:43,2015-12-29 18:22:17,0.0,iforest
15,iforest_P3_SWAT_Dec2015_Data_model,21,721,565,78.36,2015-12-29 18:30:00,2015-12-29 18:42:00,0.0,iforest
16,iforest_P3_SWAT_Dec2015_Data_model,22,463,241,52.05,2015-12-29 22:55:18,2015-12-29 23:03:00,101.0,iforest
17,iforest_P3_SWAT_Dec2015_Data_model,23,697,696,99.86,2015-12-30 01:42:34,2015-12-30 01:54:10,0.0,iforest
18,iforest_P3_SWAT_Dec2015_Data_model,24,321,45,14.02,2015-12-30 09:51:08,2015-12-30 09:56:28,69.0,iforest
19,iforest_P3_SWAT_Dec2015_Data_model,25,612,144,23.53,2015-12-30 10:01:50,2015-12-30 10:12:01,229.0,iforest
20,iforest_P3_SWAT_Dec2015_Data_model,26,1445,214,14.81,2015-12-30 17:04:56,2015-12-30 17:29:00,213.0,iforest
21,iforest_P3_SWAT_Dec2015_Data_model,27,1691,1633,96.57,2015-12-31 01:17:08,2015-12-31 01:45:18,0.0,iforest
22,iforest_P3_SWAT_Dec2015_Data_model,28,34209,33800,98.8,2015-12-31 01:45:19,2015-12-31 11:15:27,0.0,iforest
23,iforest_P3_SWAT_Dec2015_Data_model,29,121,0,0.0,2015-12-31 15:32:00,2015-12-31 15:34:00,120.0,iforest
24,iforest_P3_SWAT_Dec2015_Data_model,30,1171,1007,85.99,2015-12-31 15:47:40,2015-12-31 16:07:10,42.0,iforest
25,iforest_P3_SWAT_Dec2015_Data_model,31,367,155,42.23,2015-12-31 22:05:34,2015-12-31 22:11:40,2.0,iforest
26,iforest_P3_SWAT_Dec2015_Data_model,32,601,0,0.0,2016-01-01 10:36:00,2016-01-01 10:46:00,600.0,iforest
27,iforest_P3_SWAT_Dec2015_Data_model,33,444,433,97.52,2016-01-01 14:21:12,2016-01-01 14:28:35,0.0,iforest
28,iforest_P3_SWAT_Dec2015_Data_model,34,101,50,49.5,2016-01-01 17:12:40,2016-01-01 17:14:20,0.0,iforest
29,iforest_P3_SWAT_Dec2015_Data_model,35,481,265,55.09,2016-01-01 17:18:56,2016-01-01 17:26:56,0.0,iforest
30,iforest_P3_SWAT_Dec2015_Data_model,36,540,289,53.52,2016-01-01 22:16:01,2016-01-01 22:25:00,0.0,iforest
0,iforest_P4_SWAT_Dec2015_Data_model,1,940,0,0.0,2015-12-28 10:29:14,2015-12-28 10:44:53,939.0,iforest
1,iforest_P4_SWAT_Dec2015_Data_model,2,443,0,0.0,2015-12-28 10:51:08,2015-12-28 10:58:30,442.0,iforest
2,iforest_P4_SWAT_Dec2015_Data_model,3,383,0,0.0,2015-12-28 11:22:00,2015-12-28 11:28:22,382.0,iforest
3,iforest_P4_SWAT_Dec2015_Data_model,4,390,0,0.0,2015-12-28 11:47:39,2015-12-28 11:54:08,389.0,iforest
4,iforest_P4_SWAT_Dec2015_Data_model,6,196,0,0.0,2015-12-28 12:00:55,2015-12-28 12:04:10,195.0,iforest
5,iforest_P4_SWAT_Dec2015_Data_model,7,429,0,0.0,2015-12-28 12:08:25,2015-12-28 12:15:33,428.0,iforest
6,iforest_P4_SWAT_Dec2015_Data_model,8,964,0,0.0,2015-12-28 13:10:10,2015-12-28 13:26:13,963.0,iforest
7,iforest_P4_SWAT_Dec2015_Data_model,10,160,18,11.25,2015-12-28 14:16:20,2015-12-28 14:19:00,142.0,iforest
8,iforest_P4_SWAT_Dec2015_Data_model,11,561,544,96.97,2015-12-28 14:19:00,2015-12-28 14:28:20,0.0,iforest
9,iforest_P4_SWAT_Dec2015_Data_model,13,233,0,0.0,2015-12-29 11:11:25,2015-12-29 11:15:17,232.0,iforest
10,iforest_P4_SWAT_Dec2015_Data_model,14,431,0,0.0,2015-12-29 11:35:40,2015-12-29 11:42:50,430.0,iforest
11,iforest_P4_SWAT_Dec2015_Data_model,16,276,0,0.0,2015-12-29 11:57:25,2015-12-29 12:02:00,275.0,iforest
12,iforest_P4_SWAT_Dec2015_Data_model,17,717,0,0.0,2015-12-29 14:38:12,2015-12-29 14:50:08,716.0,iforest
13,iforest_P4_SWAT_Dec2015_Data_model,19,259,0,0.0,2015-12-29 18:10:43,2015-12-29 18:15:01,258.0,iforest
14,iforest_P4_SWAT_Dec2015_Data_model,20,395,0,0.0,2015-12-29 18:15:43,2015-12-29 18:22:17,394.0,iforest
15,iforest_P4_SWAT_Dec2015_Data_model,21,721,0,0.0,2015-12-29 18:30:00,2015-12-29 18:42:00,720.0,iforest
16,iforest_P4_SWAT_Dec2015_Data_model,22,463,444,95.9,2015-12-29 22:55:18,2015-12-29 23:03:00,0.0,iforest
17,iforest_P4_SWAT_Dec2015_Data_model,23,697,0,0.0,2015-12-30 01:42:34,2015-12-30 01:54:10,696.0,iforest
18,iforest_P4_SWAT_Dec2015_Data_model,24,321,0,0.0,2015-12-30 09:51:08,2015-12-30 09:56:28,320.0,iforest
19,iforest_P4_SWAT_Dec2015_Data_model,25,612,0,0.0,2015-12-30 10:01:50,2015-12-30 10:12:01,611.0,iforest
20,iforest_P4_SWAT_Dec2015_Data_model,26,1445,0,0.0,2015-12-30 17:04:56,2015-12-30 17:29:00,1444.0,iforest
21,iforest_P4_SWAT_Dec2015_Data_model,27,1691,0,0.0,2015-12-31 01:17:08,2015-12-31 01:45:18,1690.0,iforest
22,iforest_P4_SWAT_Dec2015_Data_model,28,34209,31970,93.45,2015-12-31 01:45:19,2015-12-31 11:15:27,2237.0,iforest
23,iforest_P4_SWAT_Dec2015_Data_model,29,121,0,0.0,2015-12-31 15:32:00,2015-12-31 15:34:00,120.0,iforest
24,iforest_P4_SWAT_Dec2015_Data_model,30,1171,0,0.0,2015-12-31 15:47:40,2015-12-31 16:07:10,1170.0,iforest
25,iforest_P4_SWAT_Dec2015_Data_model,31,367,0,0.0,2015-12-31 22:05:34,2015-12-31 22:11:40,366.0,iforest
26,iforest_P4_SWAT_Dec2015_Data_model,32,601,0,0.0,2016-01-01 10:36:00,2016-01-01 10:46:00,600.0,iforest
27,iforest_P4_SWAT_Dec2015_Data_model,33,444,0,0.0,2016-01-01 14:21:12,2016-01-01 14:28:35,443.0,iforest
28,iforest_P4_SWAT_Dec2015_Data_model,34,101,0,0.0,2016-01-01 17:12:40,2016-01-01 17:14:20,100.0,iforest
29,iforest_P4_SWAT_Dec2015_Data_model,35,481,0,0.0,2016-01-01 17:18:56,2016-01-01 17:26:56,480.0,iforest
30,iforest_P4_SWAT_Dec2015_Data_model,36,540,0,0.0,2016-01-01 22:16:01,2016-01-01 22:25:00,539.0,iforest
0,iforest_P5_SWAT_Dec2015_Data_model,1,940,932,99.15,2015-12-28 10:29:14,2015-12-28 10:44:53,0.0,iforest
1,iforest_P5_SWAT_Dec2015_Data_model,2,443,442,99.77,2015-12-28 10:51:08,2015-12-28 10:58:30,0.0,iforest
