,Model_Name,AttackID,Total_Count_of_Actual_Attacks,Total_Count_of_Identified_Attacks,Identified_Attack(in %),Attack_Start_Time,Attack_End_Time,PropensityOfAttack (In Seconds)
0,iforest_P1_SWAT_Dec2015_Data_model,1,940,940,100.0,2015-12-28 10:29:14,2015-12-28 10:44:53,0.0
1,iforest_P1_SWAT_Dec2015_Data_model,2,443,94,21.22,2015-12-28 10:51:08,2015-12-28 10:58:30,259.0
2,iforest_P1_SWAT_Dec2015_Data_model,3,383,225,58.75,2015-12-28 11:22:00,2015-12-28 11:28:22,19.0
3,iforest_P1_SWAT_Dec2015_Data_model,4,390,127,32.56,2015-12-28 11:47:39,2015-12-28 11:54:08,22.0
4,iforest_P1_SWAT_Dec2015_Data_model,6,196,196,100.0,2015-12-28 12:00:55,2015-12-28 12:04:10,0.0
5,iforest_P1_SWAT_Dec2015_Data_model,7,429,64,14.92,2015-12-28 12:08:25,2015-12-28 12:15:33,0.0
6,iforest_P1_SWAT_Dec2015_Data_model,8,964,471,48.86,2015-12-28 13:10:10,2015-12-28 13:26:13,1.0
7,iforest_P1_SWAT_Dec2015_Data_model,10,160,28,17.5,2015-12-28 14:16:20,2015-12-28 14:19:00,0.0
8,iforest_P1_SWAT_Dec2015_Data_model,11,561,41,7.31,2015-12-28 14:19:00,2015-12-28 14:28:20,51.0
9,iforest_P1_SWAT_Dec2015_Data_model,13,233,170,72.96,2015-12-29 11:11:25,2015-12-29 11:15:17,0.0
10,iforest_P1_SWAT_Dec2015_Data_model,14,431,143,33.18,2015-12-29 11:35:40,2015-12-29 11:42:50,2.0
11,iforest_P1_SWAT_Dec2015_Data_model,16,276,103,37.32,2015-12-29 11:57:25,2015-12-29 12:02:00,25.0
12,iforest_P1_SWAT_Dec2015_Data_model,17,717,465,64.85,2015-12-29 14:38:12,2015-12-29 14:50:08,7.0
13,iforest_P1_SWAT_Dec2015_Data_model,19,259,160,61.78,2015-12-29 18:10:43,2015-12-29 18:15:01,0.0
14,iforest_P1_SWAT_Dec2015_Data_model,20,395,296,74.94,2015-12-29 18:15:43,2015-12-29 18:22:17,0.0
15,iforest_P1_SWAT_Dec2015_Data_model,21,721,374,51.87,2015-12-29 18:30:00,2015-12-29 18:42:00,0.0
16,iforest_P1_SWAT_Dec2015_Data_model,22,463,59,12.74,2015-12-29 22:55:18,2015-12-29 23:03:00,0.0
17,iforest_P1_SWAT_Dec2015_Data_model,23,697,317,45.48,2015-12-30 01:42:34,2015-12-30 01:54:10,0.0
18,iforest_P1_SWAT_Dec2015_Data_model,24,321,130,40.5,2015-12-30 09:51:08,2015-12-30 09:56:28,4.0
19,iforest_P1_SWAT_Dec2015_Data_model,25,612,53,8.66,2015-12-30 10:01:50,2015-12-30 10:12:01,0.0
20,iforest_P1_SWAT_Dec2015_Data_model,26,1445,117,8.1,2015-12-30 17:04:56,2015-12-30 17:29:00,215.0
21,iforest_P1_SWAT_Dec2015_Data_model,27,1691,1039,61.44,2015-12-31 01:17:08,2015-12-31 01:45:18,3.0
22,iforest_P1_SWAT_Dec2015_Data_model,28,34209,2078,6.07,2015-12-31 01:45:19,2015-12-31 11:15:27,0.0
23,iforest_P1_SWAT_Dec2015_Data_model,29,121,13,10.74,2015-12-31 15:32:00,2015-12-31 15:34:00,17.0
24,iforest_P1_SWAT_Dec2015_Data_model,30,1171,46,3.93,2015-12-31 15:47:40,2015-12-31 16:07:10,1125.0
25,iforest_P1_SWAT_Dec2015_Data_model,31,367,130,35.42,2015-12-31 22:05:34,2015-12-31 22:11:40,3.0
